Indonesian,English
aku,I
tidak,no
yang,which
kau,you
ini,this
itu,that
di,in
dan,and
akan,will
apa,what
dia,he/she
anda,you
kita,we (inclusive)
untuk,to/for
saya,I
mereka,they
ada,there is
bisa,can
tahu,know
dengan,with
kamu,you
tak,not
dari,from
kami,we (exclusive)
ke,to
ya,yes
adalah,is
orang,person
harus,must/should
tapi,but
pergi,go
baik,good
sini,here
seperti,like/as
sudah,already
saja,only
ingin,want
dalam,in
sekarang,now
hanya,only
semua,all
jika,if
oh,oh
apakah,whether
punya,have
jadi,so
jangan,do not
bukan,not
bagaimana,how
lebih,more